match,quarter,frame_index,timestamp_sec,partner,confidence,box_x,box_y,box_w,box_h,frame_w,frame_h,coverage_pct,center_x,center_y
Round3,Q2,0,0.0,EMIRATES,0.8747,1046.6,882.4,189.5,96.6,1920,1080,0.883,1141.3,930.7
Round3,Q2,1,1.0,EMIRATES,0.8949,1237.4,311.6,57.9,23.0,1920,1080,0.064,1266.3,323.1
Round3,Q2,8,8.0,EMIRATES,0.8147,789.4,600.2,50.2,13.5,1920,1080,0.033,814.5,606.9
Round3,Q2,9,9.0,EMIRATES,0.8484,783.5,609.7,51.0,13.5,1920,1080,0.033,809.0,616.5
Round3,Q2,10,10.0,EMIRATES,0.8578,774.0,625.8,53.7,14.6,1920,1080,0.038,800.8,633.1
Round3,Q2,11,11.0,EMIRATES,0.8756,762.0,648.5,57.0,14.9,1920,1080,0.041,790.5,655.9
Round3,Q2,12,12.0,EMIRATES,0.8719,746.1,679.5,58.7,16.0,1920,1080,0.045,775.5,687.5
Round3,Q2,13,13.0,EMIRATES,0.8165,734.5,712.1,54.4,13.4,1920,1080,0.035,761.6,718.8
Round3,Q2,13,13.0,EMIRATES,0.6695,896.6,712.2,66.0,12.9,1920,1080,0.041,929.6,718.7
Round3,Q2,14,14.0,EMIRATES,0.8137,717.8,735.8,57.9,15.1,1920,1080,0.042,746.8,743.4
Round3,Q2,14,14.0,EMIRATES,0.6274,890.5,735.8,69.6,13.7,1920,1080,0.046,925.3,742.6
Round3,Q2,15,15.0,EMIRATES,0.8227,697.5,757.1,61.6,15.8,1920,1080,0.047,728.2,765.0
Round3,Q2,15,15.0,EMIRATES,0.6157,881.6,757.3,72.2,14.2,1920,1080,0.049,917.8,764.4
Round3,Q2,16,16.0,EMIRATES,0.8424,681.0,778.4,64.6,16.7,1920,1080,0.052,713.3,786.8
Round3,Q2,16,16.0,EMIRATES,0.6768,877.0,778.5,76.9,15.2,1920,1080,0.056,915.4,786.1
Round3,Q2,17,17.0,EMIRATES,0.8298,659.8,802.9,69.6,17.1,1920,1080,0.057,694.6,811.5
Round3,Q2,17,17.0,EMIRATES,0.6052,868.4,802.7,85.3,16.7,1920,1080,0.069,911.1,811.0
Round3,Q2,18,18.0,EMIRATES,0.8545,638.1,839.4,75.8,18.2,1920,1080,0.067,676.0,848.5
Round3,Q2,18,18.0,EMIRATES,0.4409,861.6,838.9,89.4,16.2,1920,1080,0.07,906.3,847.0
Round3,Q2,19,19.0,EMIRATES,0.8622,618.0,873.7,77.5,19.2,1920,1080,0.072,656.7,883.3
Round3,Q2,19,19.0,EMIRATES,0.4109,853.3,872.9,94.1,17.8,1920,1080,0.081,900.3,881.8
Round3,Q2,20,20.0,EMIRATES,0.8969,1000.0,405.3,102.9,34.9,1920,1080,0.173,1051.4,422.7
Round3,Q2,20,20.0,EMIRATES,0.8438,1826.2,571.1,65.4,27.6,1920,1080,0.087,1858.9,584.9
Round3,Q2,20,20.0,EMIRATES,0.4955,625.4,423.3,68.1,29.4,1920,1080,0.097,659.4,438.0
Round3,Q2,21,21.0,EMIRATES,0.9209,1008.9,415.2,99.6,30.0,1920,1080,0.144,1058.7,430.2
