match,quarter,frame_index,timestamp_sec,partner,confidence,box_x,box_y,box_w,box_h,frame_w,frame_h,coverage_pct,center_x,center_y
Round3,Q3,1,1.0,EMIRATES,0.3228,0.0,941.3,14.3,57.4,1920,1080,0.04,7.1,970.0
Round3,Q3,7,7.0,EMIRATES,0.4792,295.5,1020.8,71.4,54.7,1920,1080,0.189,331.2,1048.2
Round3,Q3,17,17.0,EMIRATES,0.8885,1433.1,665.5,164.3,57.3,1920,1080,0.454,1515.2,694.2
Round3,Q3,17,17.0,EMIRATES,0.5353,665.0,19.0,181.8,30.7,1920,1080,0.269,755.9,34.4
Round3,Q3,18,18.0,EMIRATES,0.8937,1431.5,767.7,165.4,54.9,1920,1080,0.438,1514.2,795.2
Round3,Q3,18,18.0,EMIRATES,0.7696,1808.5,734.1,85.4,32.1,1920,1080,0.132,1851.2,750.2
Round3,Q3,19,19.0,EMIRATES,0.8752,1309.9,797.2,152.0,48.7,1920,1080,0.357,1385.9,821.6
Round3,Q3,19,19.0,EMIRATES,0.7981,1620.0,796.5,116.1,38.5,1920,1080,0.216,1678.1,815.8
Round3,Q3,19,19.0,EMIRATES,0.3596,1004.8,632.4,59.4,23.0,1920,1080,0.066,1034.5,643.9
Round3,Q3,20,20.0,EMIRATES,0.9188,1318.5,720.0,147.9,48.1,1920,1080,0.343,1392.4,744.0
Round3,Q3,21,21.0,EMIRATES,0.9169,1225.8,593.0,137.9,43.3,1920,1080,0.288,1294.7,614.7
Round3,Q3,21,21.0,EMIRATES,0.8377,1858.8,474.2,61.2,42.2,1920,1080,0.125,1889.4,495.3
Round3,Q3,22,22.0,EMIRATES,0.9251,1084.6,506.8,135.8,41.5,1920,1080,0.272,1152.5,527.5
Round3,Q3,23,23.0,EMIRATES,0.921,1021.3,385.2,130.6,39.4,1920,1080,0.248,1086.6,404.8
Round3,Q3,24,24.0,EMIRATES,0.9125,1050.3,458.6,121.8,39.2,1920,1080,0.23,1111.2,478.2
Round3,Q3,25,25.0,EMIRATES,0.922,1071.7,493.9,131.1,41.0,1920,1080,0.259,1137.2,514.4
Round3,Q3,26,26.0,EMIRATES,0.9085,1802.6,509.4,117.3,46.2,1920,1080,0.262,1861.2,532.5
Round3,Q3,26,26.0,EMIRATES,0.9013,1093.3,459.6,115.8,44.3,1920,1080,0.248,1151.2,481.8
Round3,Q3,27,27.0,EMIRATES,0.9194,1087.7,466.1,126.4,39.1,1920,1080,0.238,1150.9,485.6
Round3,Q3,28,28.0,EMIRATES,0.9248,1122.4,487.1,128.9,36.9,1920,1080,0.229,1186.9,505.5
Round3,Q3,29,29.0,EMIRATES,0.9066,1121.7,475.5,117.2,37.5,1920,1080,0.212,1180.2,494.2
Round3,Q3,30,30.0,EMIRATES,0.9219,1122.9,459.5,121.7,37.0,1920,1080,0.217,1183.7,478.0
Round3,Q3,31,31.0,EMIRATES,0.906,1177.7,486.3,120.7,40.1,1920,1080,0.233,1238.0,506.4
Round3,Q3,32,32.0,EMIRATES,0.9286,1207.0,483.7,125.2,38.0,1920,1080,0.23,1269.6,502.7
Round3,Q3,33,33.0,EMIRATES,0.9291,1206.6,462.0,127.4,37.7,1920,1080,0.232,1270.3,480.9
Round3,Q3,34,34.0,EMIRATES,0.9276,1177.4,487.6,129.1,38.5,1920,1080,0.24,1242.0,506.9
Round3,Q3,35,35.0,EMIRATES,0.9153,1143.1,456.0,134.2,40.3,1920,1080,0.261,1210.2,476.1
Round3,Q3,36,36.0,EMIRATES,0.9247,1237.1,541.8,133.7,40.8,1920,1080,0.263,1304.0,562.2
Round3,Q3,37,37.0,EMIRATES,0.9189,1265.4,482.7,135.7,41.5,1920,1080,0.272,1333.3,503.4
Round3,Q3,37,37.0,EMIRATES,0.3814,0.0,512.2,19.4,26.0,1920,1080,0.024,9.7,525.2
Round3,Q3,38,38.0,EMIRATES,0.924,1172.0,487.4,135.4,40.6,1920,1080,0.265,1239.8,507.7
Round3,Q3,39,39.0,EMIRATES,0.915,1118.8,491.2,141.2,41.6,1920,1080,0.283,1189.4,512.0
Round3,Q3,40,40.0,EMIRATES,0.924,1171.2,536.9,154.9,48.6,1920,1080,0.363,1248.7,561.2
Round3,Q3,41,41.0,EMIRATES,0.8897,1383.5,701.1,207.5,72.7,1920,1080,0.728,1487.2,737.5
Round3,Q3,48,48.0,CYBERCX,0.3208,1842.7,528.2,77.3,101.7,1920,1080,0.379,1881.4,579.0
Round3,Q3,53,53.0,EMIRATES,0.9091,1072.4,274.2,39.3,23.4,1920,1080,0.044,1092.1,285.9
Round3,Q3,53,53.0,EMIRATES,0.8865,700.5,249.8,55.2,24.6,1920,1080,0.066,728.1,262.1
Round3,Q3,54,54.0,EMIRATES,0.9016,1069.5,263.1,58.0,25.2,1920,1080,0.07,1098.5,275.7
