match,quarter,frame_index,timestamp_sec,partner,confidence,box_x,box_y,box_w,box_h,frame_w,frame_h,coverage_pct,center_x,center_y
Round3,Q4,0,0.0,EMIRATES,0.8655,775.7,584.9,53.2,14.5,1920,1080,0.037,802.4,592.1
Round3,Q4,0,0.0,EMIRATES,0.5763,929.3,587.0,46.0,11.6,1920,1080,0.026,952.4,592.8
Round3,Q4,1,1.0,EMIRATES,0.8766,766.7,603.9,55.8,15.6,1920,1080,0.042,794.6,611.7
Round3,Q4,1,1.0,EMIRATES,0.7412,927.6,606.6,46.2,12.0,1920,1080,0.027,950.7,612.6
Round3,Q4,2,2.0,EMIRATES,0.8467,755.2,626.6,57.6,15.7,1920,1080,0.044,784.0,634.4
Round3,Q4,2,2.0,EMIRATES,0.7885,921.9,628.5,49.8,13.0,1920,1080,0.031,946.8,635.0
Round3,Q4,3,3.0,EMIRATES,0.8429,741.4,653.5,62.1,16.3,1920,1080,0.049,772.5,661.7
Round3,Q4,3,3.0,EMIRATES,0.5563,917.9,655.5,51.9,14.0,1920,1080,0.035,943.8,662.5
Round3,Q4,4,4.0,EMIRATES,0.8734,715.3,682.0,65.4,17.7,1920,1080,0.056,748.0,690.9
Round3,Q4,4,4.0,EMIRATES,0.7008,917.7,685.0,54.1,14.5,1920,1080,0.038,944.7,692.3
Round3,Q4,5,5.0,EMIRATES,0.8241,728.4,717.9,59.8,15.4,1920,1080,0.044,758.3,725.6
Round3,Q4,5,5.0,EMIRATES,0.4019,907.2,718.5,68.6,14.6,1920,1080,0.048,941.5,725.7
Round3,Q4,6,6.0,EMIRATES,0.8189,710.6,750.2,64.4,15.3,1920,1080,0.047,742.8,757.8
Round3,Q4,7,7.0,EMIRATES,0.8461,691.6,787.5,67.4,17.8,1920,1080,0.058,725.3,796.4
Round3,Q4,7,7.0,EMIRATES,0.548,896.1,788.3,82.6,16.3,1920,1080,0.065,937.4,796.4
Round3,Q4,8,8.0,EMIRATES,0.8162,667.5,823.0,71.8,18.6,1920,1080,0.065,703.4,832.4
Round3,Q4,8,8.0,EMIRATES,0.4844,886.4,823.7,88.7,16.8,1920,1080,0.072,930.7,832.1
Round3,Q4,9,9.0,EMIRATES,0.8194,640.1,859.5,77.9,19.8,1920,1080,0.074,679.1,869.4
Round3,Q4,9,9.0,EMIRATES,0.6366,873.8,859.8,90.7,17.6,1920,1080,0.077,919.1,868.6
Round3,Q4,10,10.0,EMIRATES,0.8522,614.9,890.0,82.5,20.2,1920,1080,0.08,656.2,900.1
Round3,Q4,10,10.0,EMIRATES,0.5719,863.9,889.7,100.2,17.7,1920,1080,0.086,914.0,898.6
Round3,Q4,11,11.0,ACCESS_COVERS,0.8664,1566.6,4.0,144.4,189.0,1920,1080,1.316,1638.8,98.5
Round3,Q4,11,11.0,EMIRATES,0.7669,872.7,372.5,101.1,26.7,1920,1080,0.13,923.2,385.9
Round3,Q4,11,11.0,EMIRATES,0.4761,604.6,896.8,88.4,20.0,1920,1080,0.085,648.8,906.8
Round3,Q4,12,12.0,EMIRATES,0.9057,870.6,377.7,105.8,27.7,1920,1080,0.141,923.5,391.5
Round3,Q4,12,12.0,ACCESS_COVERS,0.8863,1585.6,0.8,142.0,217.1,1920,1080,1.487,1656.6,109.4
Round3,Q4,12,12.0,ACCESS_COVERS,0.7449,1593.0,237.3,132.7,75.0,1920,1080,0.48,1659.4,274.8
Round3,Q4,13,13.0,ACCESS_COVERS,0.8956,1671.0,2.3,138.1,202.4,1920,1080,1.348,1740.1,103.5
Round3,Q4,13,13.0,EMIRATES,0.8948,913.9,371.2,113.6,29.6,1920,1080,0.162,970.8,386.0
Round3,Q4,13,13.0,ACCESS_COVERS,0.8512,1674.7,231.4,128.8,211.2,1920,1080,1.313,1739.1,337.0
Round3,Q4,13,13.0,ACCESS_COVERS,0.6073,1675.7,230.7,128.5,89.5,1920,1080,0.554,1740.0,275.5
Round3,Q4,14,14.0,EMIRATES,0.9097,848.2,356.1,116.1,42.0,1920,1080,0.235,906.2,377.1
Round3,Q4,14,14.0,ACCESS_COVERS,0.8744,1764.7,0.0,127.1,184.9,1920,1080,1.133,1828.3,92.5
Round3,Q4,14,14.0,ACCESS_COVERS,0.8477,1752.4,199.9,137.3,230.7,1920,1080,1.527,1821.1,315.2
Round3,Q4,15,15.0,EMIRATES,0.9251,802.5,377.0,126.5,41.1,1920,1080,0.251,865.7,397.5
Round3,Q4,15,15.0,EMIRATES,0.8765,1332.5,562.0,59.3,27.4,1920,1080,0.078,1362.2,575.8
Round3,Q4,15,15.0,ACCESS_COVERS,0.7743,1809.7,0.0,109.5,180.4,1920,1080,0.953,1864.4,90.2
Round3,Q4,15,15.0,ACCESS_COVERS,0.4587,1809.6,191.8,109.8,93.2,1920,1080,0.494,1864.5,238.4
Round3,Q4,32,32.0,EMIRATES,0.8768,450.3,482.0,180.4,74.6,1920,1080,0.649,540.5,519.3
Round3,Q4,33,33.0,EMIRATES,0.903,1589.6,477.5,194.7,74.1,1920,1080,0.696,1687.0,514.5
Round3,Q4,34,34.0,EMIRATES,0.6819,487.2,454.4,159.5,72.8,1920,1080,0.56,567.0,490.8
Round3,Q4,39,39.0,EMIRATES,0.6077,832.4,1034.0,184.9,45.7,1920,1080,0.407,924.8,1056.9
Round3,Q4,41,41.0,EMIRATES,0.9001,1223.3,392.0,140.9,35.9,1920,1080,0.244,1293.7,410.0
Round3,Q4,41,41.0,EMIRATES,0.8887,672.0,500.6,136.8,40.5,1920,1080,0.267,740.3,520.8
Round3,Q4,42,42.0,EMIRATES,0.9267,703.9,505.6,140.7,42.0,1920,1080,0.285,774.3,526.6
Round3,Q4,42,42.0,EMIRATES,0.9046,1271.5,394.8,140.1,36.4,1920,1080,0.246,1341.6,413.0
Round3,Q4,42,42.0,EMIRATES,0.776,1086.7,506.4,45.2,39.9,1920,1080,0.087,1109.3,526.3
Round3,Q4,43,43.0,EMIRATES,0.9063,715.3,502.4,138.7,41.6,1920,1080,0.279,784.6,523.2
Round3,Q4,43,43.0,EMIRATES,0.8948,1287.6,396.0,138.9,38.6,1920,1080,0.258,1357.0,415.3
Round3,Q4,43,43.0,EMIRATES,0.8307,1089.3,504.4,57.3,37.6,1920,1080,0.104,1117.9,523.2
Round3,Q4,44,44.0,EMIRATES,0.9109,696.6,508.4,138.8,41.5,1920,1080,0.278,766.0,529.2
Round3,Q4,44,44.0,EMIRATES,0.9062,1279.6,406.3,140.3,41.7,1920,1080,0.282,1349.7,427.1
Round3,Q4,44,44.0,EMIRATES,0.332,1090.4,506.8,47.2,37.2,1920,1080,0.085,1114.0,525.4
Round3,Q4,45,45.0,EMIRATES,0.9052,703.8,512.9,139.6,42.1,1920,1080,0.283,773.6,534.0
Round3,Q4,45,45.0,EMIRATES,0.8921,1293.4,405.1,140.7,43.8,1920,1080,0.297,1363.7,427.0
Round3,Q4,46,46.0,EMIRATES,0.9159,691.0,513.1,133.0,41.4,1920,1080,0.266,757.5,533.8
Round3,Q4,46,46.0,EMIRATES,0.9077,1275.8,406.6,137.4,39.3,1920,1080,0.26,1344.5,426.2
Round3,Q4,47,47.0,EMIRATES,0.9223,1265.4,400.7,135.2,38.5,1920,1080,0.251,1333.0,419.9
Round3,Q4,47,47.0,EMIRATES,0.9176,701.9,539.2,133.3,40.5,1920,1080,0.26,768.5,559.4
Round3,Q4,48,48.0,EMIRATES,0.9184,690.6,500.8,132.5,42.5,1920,1080,0.272,756.8,522.1
Round3,Q4,48,48.0,EMIRATES,0.8862,1408.6,389.0,129.1,47.8,1920,1080,0.298,1473.1,413.0
Round3,Q4,48,48.0,EMIRATES,0.7646,1771.1,518.0,31.1,114.0,1920,1080,0.171,1786.7,575.0
Round3,Q4,48,48.0,EMIRATES,0.6098,1187.9,498.3,56.0,34.3,1920,1080,0.093,1215.9,515.4
Round3,Q4,49,49.0,EMIRATES,0.9189,805.7,495.6,135.6,40.4,1920,1080,0.264,873.5,515.8
Round3,Q4,49,49.0,EMIRATES,0.8832,367.4,346.1,84.1,41.9,1920,1080,0.17,409.4,367.1
Round3,Q4,49,49.0,EMIRATES,0.8715,1369.8,390.2,120.1,38.9,1920,1080,0.225,1429.8,409.7
Round3,Q4,50,50.0,EMIRATES,0.9214,846.7,432.3,138.1,43.3,1920,1080,0.288,915.8,454.0
Round3,Q4,50,50.0,EMIRATES,0.9069,140.3,364.9,123.8,37.5,1920,1080,0.224,202.2,383.7
Round3,Q4,50,50.0,EMIRATES,0.896,433.5,275.1,89.6,42.3,1920,1080,0.183,478.3,296.3
Round3,Q4,50,50.0,EMIRATES,0.8829,1405.2,329.7,119.2,47.6,1920,1080,0.273,1464.8,353.5
Round3,Q4,50,50.0,EMIRATES,0.855,1200.8,434.2,65.9,34.2,1920,1080,0.109,1233.8,451.3
Round3,Q4,50,50.0,EMIRATES,0.5861,1770.1,463.7,30.1,106.8,1920,1080,0.155,1785.2,517.1
Round3,Q4,51,51.0,EMIRATES,0.9093,193.7,331.9,113.3,34.3,1920,1080,0.187,250.4,349.1
Round3,Q4,51,51.0,EMIRATES,0.9078,850.4,381.9,128.1,32.8,1920,1080,0.203,914.5,398.3
Round3,Q4,51,51.0,EMIRATES,0.9076,494.8,232.1,80.3,32.7,1920,1080,0.127,535.0,248.4
Round3,Q4,51,51.0,EMIRATES,0.8943,1416.2,293.7,110.9,40.6,1920,1080,0.217,1471.6,314.0
Round3,Q4,51,51.0,EMIRATES,0.855,1231.8,391.7,50.8,34.0,1920,1080,0.083,1257.2,408.7
Round3,Q4,52,52.0,EMIRATES,0.9101,538.7,237.4,68.8,29.3,1920,1080,0.097,573.1,252.0
Round3,Q4,52,52.0,EMIRATES,0.8923,1376.3,276.4,77.7,39.0,1920,1080,0.146,1415.2,295.9
Round3,Q4,52,52.0,EMIRATES,0.8876,1186.0,368.3,78.1,29.9,1920,1080,0.113,1225.0,383.2
Round3,Q4,52,52.0,EMIRATES,0.8862,862.3,360.6,118.6,30.4,1920,1080,0.174,921.6,375.8
Round3,Q4,52,52.0,EMIRATES,0.6885,1757.2,413.3,41.7,17.6,1920,1080,0.035,1778.0,422.1
Round3,Q4,53,53.0,EMIRATES,0.9001,582.3,233.1,64.1,31.0,1920,1080,0.096,614.4,248.6
Round3,Q4,53,53.0,EMIRATES,0.8881,849.5,344.5,103.7,41.8,1920,1080,0.209,901.3,365.4
Round3,Q4,53,53.0,EMIRATES,0.7166,1736.0,406.6,43.9,17.8,1920,1080,0.038,1757.9,415.5
Round3,Q4,53,53.0,EMIRATES,0.6266,1137.6,356.8,58.6,27.9,1920,1080,0.079,1166.9,370.7
Round3,Q4,54,54.0,EMIRATES,0.889,1168.7,351.8,44.8,27.7,1920,1080,0.06,1191.1,365.6
Round3,Q4,54,54.0,EMIRATES,0.8805,366.2,333.9,74.1,28.1,1920,1080,0.101,403.2,348.0
Round3,Q4,54,54.0,EMIRATES,0.88,1453.5,434.6,67.7,22.8,1920,1080,0.074,1487.4,446.0
Round3,Q4,54,54.0,EMIRATES,0.8759,837.7,367.9,95.9,35.8,1920,1080,0.166,885.6,385.8
Round3,Q4,54,54.0,EMIRATES,0.8736,686.9,274.4,79.1,25.3,1920,1080,0.097,726.5,287.1
Round3,Q4,55,55.0,EMIRATES,0.9021,640.6,343.8,59.1,31.6,1920,1080,0.09,670.1,359.6
Round3,Q4,55,55.0,EMIRATES,0.8947,853.9,359.7,53.0,26.9,1920,1080,0.069,880.4,373.2
Round3,Q4,55,55.0,EMIRATES,0.8813,346.9,402.9,80.8,22.2,1920,1080,0.087,387.3,414.1
Round3,Q4,55,55.0,EMIRATES,0.8703,1494.3,465.7,76.6,22.4,1920,1080,0.083,1532.6,476.9
Round3,Q4,55,55.0,EMIRATES,0.8364,1776.9,373.2,78.3,20.9,1920,1080,0.079,1816.0,383.7
Round3,Q4,55,55.0,EMIRATES,0.6516,1336.2,471.5,41.0,19.4,1920,1080,0.038,1356.7,481.2
Round3,Q4,56,56.0,EMIRATES,0.8963,1645.9,477.0,86.5,29.4,1920,1080,0.123,1689.2,491.7
Round3,Q4,56,56.0,EMIRATES,0.8956,10.4,432.6,75.9,30.9,1920,1080,0.113,48.3,448.1
Round3,Q4,56,56.0,EMIRATES,0.8883,1313.6,403.4,63.7,26.1,1920,1080,0.08,1345.5,416.4
Round3,Q4,56,56.0,EMIRATES,0.8848,1120.9,367.5,59.5,27.2,1920,1080,0.078,1150.6,381.1
Round3,Q4,56,56.0,EMIRATES,0.8773,666.2,394.9,52.7,22.4,1920,1080,0.057,692.5,406.1
Round3,Q4,56,56.0,EMIRATES,0.8166,845.0,420.2,79.0,20.4,1920,1080,0.078,884.5,430.4
Round3,Q4,57,57.0,EMIRATES,0.8911,96.1,338.1,69.0,29.5,1920,1080,0.098,130.6,352.9
Round3,Q4,57,57.0,EMIRATES,0.7246,616.3,424.2,36.3,18.9,1920,1080,0.033,634.4,433.7
Round3,Q4,58,58.0,EMIRATES,0.8377,1533.1,454.5,75.5,31.0,1920,1080,0.113,1570.8,470.0
Round3,Q4,59,59.0,EMIRATES,0.8802,1456.3,477.2,73.3,30.3,1920,1080,0.107,1492.9,492.3
Round3,Q4,59,59.0,EMIRATES,0.6169,825.3,495.8,29.7,14.5,1920,1080,0.021,840.1,503.1
Round3,Q4,61,61.0,EMIRATES,0.8603,983.1,575.2,44.5,14.9,1920,1080,0.032,1005.3,582.7
Round3,Q4,61,61.0,EMIRATES,0.5088,1661.8,1034.1,61.7,23.4,1920,1080,0.07,1692.6,1045.8
Round3,Q4,62,62.0,EMIRATES,0.8777,1019.7,559.1,56.5,15.8,1920,1080,0.043,1048.0,567.0
Round3,Q4,62,62.0,EMIRATES,0.8444,693.5,512.3,37.6,12.1,1920,1080,0.022,712.2,518.3
